SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer
SR21-01737043,09/29/21 04:30 PM,1053 N PULASKI RD<br>  60651,Completed,Processed for Hearing - Standard
SR21-01738276,09/29/21 09:30 PM,2240 W GRANVILLE AVE<br>  60659,Completed,No Cause - Phone Call
SR21-01738724,09/30/21 02:15 AM,6700 S CHAPPEL AVE<br>  60649,Completed,Adequate Temperature
SR21-01738783,09/30/21 04:11 AM,6700 S CHAPPEL AVE<br>  60649,Completed,
SR21-01743378,09/30/21 03:18 PM,8214 S MARQUETTE AVE<br>apt. 1<br>  60617,Completed,No Entry
SR21-01746290,10/01/21 08:07 AM,1410 N PAULINA ST<br>  60622,Completed,Processed for Hearing - Standard
SR21-01748520,10/01/21 12:29 PM,5600 S LOOMIS BLVD<br>  60636,Completed,No Entry
SR21-01752869,10/02/21 10:35 AM,7942 S CHAMPLAIN AVE<br>3E<br>  60619,Completed,No Entry
SR21-01754666,10/02/21 07:40 PM,2237 S SAWYER AVE<br>  60623,Completed,Processed for Hearing - Standard
SR21-01757754,10/03/21 07:16 PM,3344 S ABERDEEN ST<br>  60608,Completed,No Entry
SR21-01759675,10/04/21 08:58 AM,3042 S KOLIN AVE<br>  60623,Completed,PROCESSED VIOLATION NOTICE
SR21-01759993,10/04/21 09:26 AM,10137 S STATE ST<br>  60628,Completed,No Entry
SR21-01766104,10/05/21 04:12 AM,6353 S ELLIS AVE<br>  60637,Completed,No Cause
SR21-01767055,10/05/21 09:00 AM,4607 S INDIANA AVE<br>  60653,Completed,Adequate Temperature
SR21-01767306,10/05/21 09:27 AM,7755 S MORGAN ST<br>  60620,Completed,No Cause - Phone Call
SR21-01770363,10/05/21 02:59 PM,3720 W BELLE PLAINE AVE<br>  60618,Completed,No Cause - Phone Call
SR21-01771017,10/05/21 04:26 PM,4700 S LAKE PARK AVE<br>  60615,Completed,No Entry
SR21-01771526,10/05/21 06:05 PM,5224 S PEORIA ST<br>  60609,Completed,No Entry
SR21-01774290,10/06/21 10:01 AM,7341 S YALE AVE<br>  60621,Completed,No Entry
SR21-01774922,10/06/21 11:03 AM,5902 S FAIRFIELD AVE<br>  60629,Completed,No Entry
SR21-01777012,10/06/21 02:35 PM,6251 W GEORGE ST<br>  60634,Completed,Processed for Court
SR21-01778449,10/06/21 05:30 PM,6901 S EAST END AVE<br>  60649,Completed,Processed for Court
SR21-01780273,10/07/21 08:18 AM,1451 E 55TH PL<br>  60637,Completed,No Entry
SR21-01780520,10/07/21 08:46 AM,3440 W ROOSEVELT RD<br>  60624,Completed,Adequate Temperature
SR21-01791734,10/08/21 07:21 PM,4730 N SACRAMENTO AVE<br>  60625,Completed,Adequate Temperature
SR21-01795334,10/09/21 06:48 PM,1333 N CLEVELAND AVE<br>  60610,Completed,Adequate Temperature
SR21-01797251,10/10/21 09:46 AM,5421 N EAST RIVER RD<br>1218<br>  60656,Completed,No Cause - Phone Call
SR21-01802934,10/11/21 01:32 PM,1921 W BERTEAU AVE<br>  60613,Completed,Adequate Temperature
SR21-01805131,10/11/21 08:01 PM,1061 E 41ST PL<br>  60653,Completed,Adequate Temperature
SR21-01805990,10/11/21 10:31 PM,5821 N BROADWAY ST<br>  60660,Completed,Adequate Temperature
SR21-01806770,10/12/21 07:25 AM,3755 S COTTAGE GROVE AVE<br>  60653,Completed,No Entry
SR21-01806966,10/12/21 07:57 AM,6726 N SHERIDAN RD<br>  60626,Completed,No Cause - Phone Call
SR21-01807482,10/12/21 08:58 AM,10538 S WABASH AVE<br>  60628,Completed,No Entry
SR21-01808759,10/12/21 11:13 AM,400 E RANDOLPH ST<br>  60601,Completed,No Cause - Phone Call
SR21-01809338,10/12/21 12:19 PM,400 E RANDOLPH ST<br>  60601,Completed,
SR21-01809734,10/12/21 01:06 PM,5801 N PULASKI RD<br>  60659,Completed,No Cause - Phone Call
SR21-01810419,10/12/21 02:13 PM,6253 S SACRAMENTO AVE<br>  60629,Completed,No Cause
SR21-01811432,10/12/21 04:12 PM,7341 S SANGAMON ST<br>  60621,Completed,Processed for Court
SR21-01811492,10/12/21 04:20 PM,7927 S MARQUETTE AVE<br>GDN<br>  60617,Completed,No Cause
SR21-01813195,10/12/21 10:10 PM,1012 N MONITOR AVE<br>  60651,Completed,Adequate Temperature
SR21-01813325,10/12/21 11:15 PM,655 W IRVING PARK RD<br>  60613,Completed,No Cause - Phone Call
SR21-01813552,10/13/21 03:03 AM,1511 E 73RD PL<br>  60619,Completed,No Entry
SR21-01814170,10/13/21 08:12 AM,1440 S INDIANA AVE<br>throughout buildings<br>  60605,Completed,No Cause
SR21-01814475,10/13/21 08:50 AM,663 E 50TH ST<br>  60615,Completed,No Entry
SR21-01815311,10/13/21 10:14 AM,6231 S RACINE AVE<br>  60636,Completed,PROCESSED VIOLATION NOTICE
SR21-01815550,10/13/21 10:37 AM,1741 N KEDVALE AVE<br>  60639,Completed,No Entry
SR21-01819233,10/13/21 06:24 PM,3755 S COTTAGE GROVE AVE<br>  60653,Completed,No Entry
SR21-01819407,10/13/21 07:08 PM,5021 W MAYPOLE AVE<br>  60644,Completed,No Cause - Phone Call
SR21-01819411,10/13/21 07:08 PM,5021 W MAYPOLE AVE<br>  60644,Completed,No Cause - Phone Call
SR21-01821436,10/14/21 09:04 AM,2845 W 79TH ST<br>  60652,Completed,No Entry
SR21-01821728,10/14/21 09:38 AM,655 W IRVING PARK RD<br>  60613,Completed,
SR21-01822395,10/14/21 10:51 AM,1512 N LAWLER AVE<br>  60651,Completed,Processed for Court
SR21-01823145,10/14/21 12:16 PM,5958 S ELIZABETH ST<br>  60636,Completed,No Entry
SR21-01824552,10/14/21 02:49 PM,11838 S LOWE AVE<br>  60628,Completed,No Entry
SR21-01825101,10/14/21 04:02 PM,663 E 50TH ST<br>  60615,Completed,Processed for Hearing - Standard
SR21-01827493,10/15/21 07:59 AM,5119 W BLOOMINGDALE AVE<br>  60639,Completed,Adequate Temperature
SR21-01828396,10/15/21 09:35 AM,3525 W DOUGLAS BLVD<br>  60623,Completed,No Cause - Phone Call
SR21-01828556,10/15/21 09:49 AM,429 E 87TH ST<br>  60619,Completed,No Entry
SR21-01828789,10/15/21 10:09 AM,5021 W MAYPOLE AVE<br>  60644,Completed,
SR21-01829101,10/15/21 10:36 AM,7031 S ROCKWELL ST<br>  60629,Completed,No Entry
SR21-01829624,10/15/21 11:23 AM,5451 S MICHIGAN AVE<br>  60615,Completed,No Entry
SR21-01831386,10/15/21 03:03 PM,5310 N GLENWOOD AVE<br>  60640,Completed,No Entry
SR21-01831497,10/15/21 03:23 PM,333 E ONTARIO ST<br>  60611,Completed,No Entry
SR21-01832020,10/15/21 04:35 PM,7755 S MORGAN ST<br>  60620,Completed,No Entry
SR21-01832240,10/15/21 05:14 PM,1504 W VAN BUREN ST<br>  60607,Completed,No Cause - Phone Call
SR21-01832514,10/15/21 06:01 PM,3835 W GLADYS AVE<br>  60624,Completed,No Cause - Phone Call
SR21-01832548,10/15/21 06:09 PM,333 E ONTARIO ST<br>  60611,Completed,
SR21-01833221,10/15/21 08:03 PM,900 N LAKE SHORE DR<br>512<br>  60611,Completed,No Cause - Phone Call
SR21-01833361,10/15/21 08:46 PM,5325 S COTTAGE GROVE AVE<br>  60615,Completed,No Cause - Phone Call
SR21-01833717,10/15/21 11:50 PM,10617 S HALE AVE<br>  60643,Completed,No Entry
SR21-01833811,10/16/21 01:42 AM,6205 S MICHIGAN AVE<br>  60637,Completed,No Cause
SR21-01833862,10/16/21 03:16 AM,6420 S MOBILE AVE<br>3A<br>  60638,Completed,No Entry
SR21-01834019,10/16/21 06:14 AM,5009 N ROCKWELL ST<br>1<br>  60625,Completed,No Entry
SR21-01834071,10/16/21 06:33 AM,7209 S CONSTANCE AVE<br>  60649,Completed,No Cause
SR21-01834284,10/16/21 07:29 AM,6030 N KENMORE AVE<br>  60660,Completed,No Entry
SR21-01834339,10/16/21 07:48 AM,5119 W BLOOMINGDALE AVE<br>  60639,Completed,
SR21-01834438,10/16/21 08:16 AM,5429 S RACINE AVE<br>  60609,Completed,No Entry
SR21-01834546,10/16/21 08:36 AM,1143 N LAVERGNE AVE<br>  60651,Completed,No Cause - Phone Call
SR21-01834688,10/16/21 09:00 AM,901 S ASHLAND AVE<br>  60607,Completed,No Entry
SR21-01834941,10/16/21 09:52 AM,3555 S COTTAGE GROVE AVE<br>  60653,Completed,No Cause - Phone Call
SR21-01835415,10/16/21 11:55 AM,2301 W GRAND AVE<br>  60612,Completed,Adequate Temperature
SR21-01835511,10/16/21 12:18 PM,742 E 84TH PL<br>  60619,Completed,No Cause - Phone Call
SR21-01835926,10/16/21 02:03 PM,5050 N BROADWAY ST<br>223<br>  60640,Completed,Adequate Temperature
SR21-01836009,10/16/21 02:22 PM,1516 N STATE PKWY<br>7C<br>  60610,Completed,No Cause - Phone Call
SR21-01836456,10/16/21 04:34 PM,5700 N HARLEM AVE<br>  60631,Completed,PROCESSED VIOLATION NOTICE
SR21-01836588,10/16/21 05:23 PM,541 W OAKDALE AVE<br>  60657,Completed,No Entry
SR21-01837038,10/16/21 08:01 PM,7801 S RIDGELAND AVE<br>  60649,Completed,Processed for Court
SR21-01837753,10/17/21 05:30 AM,7726 S JEFFERY BLVD<br>  60649,Completed,No Cause - Phone Call
SR21-01837795,10/17/21 06:13 AM,1603 N NEWLAND AVE<br>apt # 1front<br>  60707,Completed,No Entry
SR21-01838002,10/17/21 07:48 AM,7023 S ABERDEEN ST<br>  60621,Completed,Processed for Hearing - Standard
SR21-01838006,10/17/21 07:50 AM,2326 N SPAULDING AVE<br>All units<br>  60647,Completed,No Entry
SR21-01838053,10/17/21 08:03 AM,517 W BROMPTON AVE<br>  60657,Completed,Adequate Temperature
SR21-01838146,10/17/21 08:34 AM,1649 W JONQUIL TER<br>6<br>  60626,Completed,Processed for Hearing - Standard
SR21-01838187,10/17/21 08:51 AM,225 N COLUMBUS DR<br>4114<br>  60601,Completed,No Entry
SR21-01838339,10/17/21 09:34 AM,817 E 78TH ST<br>  60619,Completed,No Cause
SR21-01839044,10/17/21 12:50 PM,1560 N CLARK ST<br>  60610,Completed,No Cause - Phone Call
SR21-01839671,10/17/21 04:03 PM,333 E ONTARIO ST<br>  60611,Completed,
SR21-01839967,10/17/21 05:30 PM,7225 W HIGGINS AVE<br>  60656,Completed,No Entry
SR21-01840125,10/17/21 06:23 PM,6001 S SACRAMENTO AVE<br>  60629,Completed,No Entry
SR21-01840148,10/17/21 06:30 PM,256 N KEELER AVE<br>  60624,Completed,No Cause - Phone Call
SR21-01840709,10/17/21 09:12 PM,4505 S DREXEL BLVD<br>  60653,Completed,No Cause - Phone Call
SR21-01840717,10/17/21 09:15 PM,901 N HAMLIN AVE<br>  60651,Completed,Adequate Temperature
SR21-01840743,10/17/21 09:19 PM,7400 S COLES AVE<br>7425<br>  60649,Completed,No Cause - Phone Call
SR21-01840816,10/17/21 09:50 PM,1423 W CULLOM AVE<br>Apt 2<br>  60613,Completed,No Entry
SR21-01841101,10/18/21 04:19 AM,7955 S MARYLAND AVE<br>  60619,Completed,No Entry
SR21-01841340,10/18/21 07:13 AM,5737 N KENMORE AVE<br>  60660,Completed,No Cause - Phone Call
SR21-01841651,10/18/21 08:16 AM,9177 S SOUTH CHICAGO AVE<br>  60617,Completed,Adequate Temperature
SR21-01841723,10/18/21 08:25 AM,6922 S OGLESBY AVE<br>  60649,Completed,Adequate Temperature
SR21-01841847,10/18/21 08:36 AM,8016 S MARYLAND AVE<br>  60619,Completed,No Entry
SR21-01841901,10/18/21 08:41 AM,1649 W JONQUIL TER<br>6<br>  60626,Completed,
SR21-01841948,10/18/21 08:45 AM,8812 S BURLEY AVE<br>  60617,Completed,Adequate Temperature
SR21-01842109,10/18/21 09:00 AM,1609 W THOME AVE<br>  60660,Completed,No Entry
SR21-01842278,10/18/21 09:17 AM,6332 S GREEN ST<br>  60621,Completed,Adequate Temperature
SR21-01842429,10/18/21 09:31 AM,635 W GRACE ST<br>#307<br>  60613,Completed,No Entry
SR21-01842473,10/18/21 09:36 AM,114 N PARKSIDE AVE<br>110<br>  60644,Completed,Processed for Hearing - Standard
SR21-01842671,10/18/21 09:57 AM,8735 S BEVERLY AVE<br>  60620,Completed,Processed for Hearing - Standard
SR21-01842775,10/18/21 10:07 AM,510 W 103RD ST<br>  60628,Completed,No Entry
SR21-01842918,10/18/21 10:16 AM,6030 N KENMORE AVE<br>407<br>  60660,Completed,
SR21-01843035,10/18/21 10:25 AM,4211 W 25TH PL<br>  60623,Completed,Adequate Temperature
SR21-01843399,10/18/21 11:00 AM,257 W 22ND PL<br>  60616,Completed,Processed for Court
SR21-01843425,10/18/21 11:03 AM,1830 S HAMLIN AVE<br>  60623,Completed,Processed for Court
SR21-01843507,10/18/21 11:09 AM,3447 W CHICAGO AVE<br>  60651,Completed,Processed for Court
SR21-01843673,10/18/21 11:25 AM,7516 1/2 N RIDGE BLVD<br>3e<br>  60645,Completed,No Cause
SR21-01843877,10/18/21 11:44 AM,2720 N SHEFFIELD AVE<br>  60614,Completed,No Cause - Phone Call
SR21-01844552,10/18/21 12:49 PM,8735 S BEVERLY AVE<br>  60620,Completed,
SR21-01844847,10/18/21 01:20 PM,3121 N HAMLIN AVE<br>1E<br>  60618,Completed,No Entry
SR21-01844886,10/18/21 01:25 PM,1241 W ROSEMONT AVE<br>GE<br>  60660,Completed,No Entry
SR21-01844892,10/18/21 01:25 PM,7435 S DR MARTIN LUTHER KING JR DR<br>  60619,Completed,Processed for Hearing - Standard
SR21-01845205,10/18/21 01:59 PM,6113 N FRANCISCO AVE<br>2S<br>  60659,Completed,Processed for Hearing - Standard
SR21-01845340,10/18/21 02:15 PM,5437 S LAFLIN ST<br>  60609,Completed,No Entry
SR21-01845698,10/18/21 02:57 PM,2475 E 74TH PL<br>  60649,Completed,No Entry
SR21-01845929,10/18/21 03:27 PM,7556 S CALUMET AVE<br>  60619,Completed,No Entry
SR21-01846821,10/18/21 05:36 PM,8812 S BURLEY AVE<br>  60617,Completed,
SR21-01847328,10/18/21 07:30 PM,3966 N ELSTON AVE<br>  60618,Completed,No Cause - Phone Call
SR21-01847435,10/18/21 07:56 PM,5924 S DR MARTIN LUTHER KING JR DR<br>  60637,Completed,Processed for Court
SR21-01847724,10/18/21 10:05 PM,5050 N KENMORE AVE<br>  60640,Completed,No Entry
SR21-01847751,10/18/21 10:21 PM,1410 W FARRAGUT AVE<br>3<br>  60640,Completed,Processed for Hearing - Standard
SR21-01848157,10/19/21 05:25 AM,4645 N SHERIDAN RD<br>  60640,Completed,Adequate Temperature
SR21-01848337,10/19/21 06:56 AM,11537 S HARVARD AVE<br>  60628,Completed,Processed for Hearing - Standard
SR21-01849200,10/19/21 09:11 AM,7942 S CHAMPLAIN AVE<br>3E<br>  60619,Completed,No Entry
SR21-01849415,10/19/21 09:33 AM,7755 S MORGAN ST<br>  60620,Completed,
SR21-01849536,10/19/21 09:44 AM,7802 S PAULINA ST<br>  60620,Completed,Processed for Court
SR21-01849615,10/19/21 09:51 AM,10342 S CALUMET AVE<br>  60628,Completed,Processed for Hearing - Standard
SR21-01849834,10/19/21 10:18 AM,3131 W 41ST PL<br>  60632,Completed,No Entry
SR21-01851017,10/19/21 12:14 PM,5050 N BROADWAY ST<br>  60640,Completed,Adequate Temperature
SR21-01851028,10/19/21 12:16 PM,5021 W MAYPOLE AVE<br>  60644,Completed,
SR21-01851100,10/19/21 12:23 PM,3330 W MAYPOLE AVE<br>  60624,Completed,No Cause - Phone Call
SR21-01851932,10/19/21 01:53 PM,7131 S BENNETT AVE<br>  60649,Completed,No Cause
SR21-01852356,10/19/21 02:39 PM,444 W FULLERTON PKWY<br>  60614,Completed,No Cause - Phone Call
SR21-01852570,10/19/21 03:07 PM,3616 W IRVING PARK RD<br>2<br>  60618,Completed,No Cause - Phone Call
SR21-01855250,10/20/21 08:13 AM,7844 S JEFFERY BLVD<br>  60649,Completed,Processed for Hearing - Standard
SR21-01855286,10/20/21 08:18 AM,659 N AUSTIN BLVD<br>  60644,Completed,No Cause - Phone Call
SR21-01855701,10/20/21 09:02 AM,5050 N KENMORE AVE<br>5054 1/2 N Kenmore Ave<br>  60640,Completed,
SR21-01855911,10/20/21 09:22 AM,2 W 111TH PL<br>  60628,Completed,PROCESSED VIOLATION NOTICE
SR21-01856126,10/20/21 09:48 AM,256 N KEELER AVE<br>  60624,Completed,No Entry
SR21-01857620,10/20/21 12:26 PM,219 W 115TH ST<br>  60628,Completed,No Entry
SR21-01858183,10/20/21 01:33 PM,2225 S RIDGEWAY AVE<br>  60623,Completed,Processed for Court
SR21-01858201,10/20/21 01:35 PM,2225 S RIDGEWAY AVE<br>  60623,Completed,Active Case
SR21-01860599,10/20/21 09:07 PM,7705 S STEWART AVE<br>  60620,Completed,No Entry
SR21-01860687,10/20/21 10:00 PM,2616 N NEWLAND AVE<br>1 front<br>  60707,Completed,No Entry
SR21-01861213,10/21/21 06:30 AM,7339 S LUELLA AVE<br>  60649,Completed,No Entry
SR21-01861958,10/21/21 08:56 AM,1323 W ESTES AVE<br>apt 37<br>  60626,Completed,No Cause - Phone Call
SR21-01862268,10/21/21 09:30 AM,1649 W JONQUIL TER<br>6<br>  60626,Completed,No Entry
SR21-01862373,10/21/21 09:43 AM,8106 S MARSHFIELD AVE<br>  60620,Completed,Processed for Hearing - Standard
SR21-01863136,10/21/21 11:02 AM,7616 S SOUTH SHORE DR<br>  60649,Completed,No Entry
SR21-01863668,10/21/21 11:57 AM,6705 S MAPLEWOOD AVE<br>  60629,Completed,Adequate Temperature
SR21-01863887,10/21/21 12:27 PM,10614 S YATES AVE<br>  60617,Completed,No Entry
SR21-01863912,10/21/21 12:29 PM,6201 S LANGLEY AVE<br>  60637,Completed,PROCESSED VIOLATION NOTICE
SR21-01864397,10/21/21 01:16 PM,3612 S PRAIRIE AVE<br>  60653,Completed,No Entry
SR21-01864429,10/21/21 01:20 PM,5200 W GEORGE ST<br>  60641,Completed,No Entry
SR21-01864450,10/21/21 01:24 PM,5903 W FILLMORE ST<br>  60644,Completed,No Cause - Phone Call
SR21-01864950,10/21/21 02:16 PM,3058 W 47TH ST<br>  60632,Completed,No Cause - Phone Call
SR21-01865019,10/21/21 02:23 PM,1749 N WELLS ST<br>  60614,Completed,Adequate Temperature
SR21-01865068,10/21/21 02:29 PM,6032 S PRAIRIE AVE<br>Apartment #2<br>  60637,Completed,No Cause - Phone Call
SR21-01865161,10/21/21 02:41 PM,4126 W 24TH PL<br>  60623,Completed,Processed for Court
SR21-01865244,10/21/21 02:53 PM,7520 S COLES AVE<br>  60649,Completed,No Entry
SR21-01865426,10/21/21 03:21 PM,7425 S SOUTH SHORE DR<br>  60649,Completed,No Entry
SR21-01865451,10/21/21 03:25 PM,7714 S CARPENTER ST<br>  60620,Completed,Adequate Temperature
SR21-01865572,10/21/21 03:39 PM,5310 N GLENWOOD AVE<br>  60640,Completed,Processed for Hearing - Standard
SR21-01865642,10/21/21 03:47 PM,6301 N SHERIDAN RD<br>  60660,Completed,No Cause - Phone Call
SR21-01865648,10/21/21 03:48 PM,2852 W EASTWOOD AVE<br>2<br>  60625,Completed,No Entry
SR21-01865840,10/21/21 04:12 PM,2756 N PINE GROVE AVE<br>811<br>  60614,Completed,No Cause
SR21-01866150,10/21/21 04:51 PM,6120 N HAMILTON AVE<br>  60659,Completed,No Entry
SR21-01866347,10/21/21 05:28 PM,2820 W 39TH PL<br>  60632,Completed,No Entry
SR21-01866835,10/21/21 07:28 PM,4445 S DREXEL BLVD<br>  60653,Completed,No Entry
SR21-01866844,10/21/21 07:29 PM,1643 W 80TH ST<br>Apt 3<br>  60620,Completed,No Entry
SR21-01866949,10/21/21 07:50 PM,8028 S MARQUETTE AVE<br>  60617,Completed,Processed for Court
SR21-01867262,10/21/21 10:07 PM,543 E 80TH ST<br>Apt 2<br>  60619,Completed,Processed for Hearing - Standard
SR21-01867677,10/22/21 04:57 AM,7146 S NORMAL BLVD<br>  60621,Completed,Processed for Hearing - Standard
SR21-01867706,10/22/21 05:58 AM,1623 W THOME AVE<br>  60660,Completed,No Entry
SR21-01868251,10/22/21 08:21 AM,2220 N SAINT LOUIS AVE<br>  60647,Completed,No Cause - Phone Call
SR21-01868388,10/22/21 08:47 AM,1749 N WELLS ST<br>  60614,Completed,
SR21-01868447,10/22/21 08:54 AM,1749 N WELLS ST<br>  60614,Completed,
SR21-01868472,10/22/21 08:59 AM,445 E 107TH ST<br>  60628,Completed,No Entry
SR21-01868479,10/22/21 09:00 AM,4917 S DREXEL BLVD<br>  60615,Completed,No Cause - Phone Call
SR21-01868569,10/22/21 09:12 AM,5429 S RACINE AVE<br>  60609,Completed,No Cause - Phone Call
SR21-01868576,10/22/21 09:14 AM,1007 W 104TH PL<br>  60643,Completed,Processed for Hearing - Standard
SR21-01868601,10/22/21 09:17 AM,1617 S CENTRAL PARK AVE<br>  60623,Completed,Adequate Temperature
SR21-01868706,10/22/21 09:28 AM,1749 N WELLS ST<br>  60614,Completed,
SR21-01868708,10/22/21 09:28 AM,5021 W MAYPOLE AVE<br>  60644,Completed,No Cause - Phone Call
SR21-01869121,10/22/21 10:17 AM,3620 S RHODES AVE<br>  60653,Completed,No Cause - Phone Call
SR21-01869255,10/22/21 10:37 AM,10137 S STATE ST<br>  60628,Completed,Processed for Court
SR21-01869642,10/22/21 11:20 AM,3510 S RHODES AVE<br>  60653,Completed,No Cause - Phone Call
SR21-01869803,10/22/21 11:40 AM,7903 S GREEN ST<br>  60620,Completed,NO SUCH ADDRESS
SR21-01869815,10/22/21 11:41 AM,1738 E 71ST PL<br>  60649,Completed,No Entry
SR21-01870449,10/22/21 12:55 PM,6131 N WINTHROP AVE<br>  60660,Completed,Processed for Court
SR21-01870623,10/22/21 01:15 PM,1749 N WELLS ST<br>  60614,Completed,
SR21-01870669,10/22/21 01:20 PM,7359 S DORCHESTER AVE<br>  60619,Completed,No Cause - Phone Call
SR21-01871076,10/22/21 02:14 PM,7646 S STEWART AVE<br>  60620,Completed,No Entry
SR21-01871151,10/22/21 02:25 PM,321 W 118TH ST<br>  60628,Completed,Processed for Court
SR21-01871200,10/22/21 02:33 PM,4845 W ADDISON ST<br>  60641,Completed,Adequate Temperature
SR21-01871401,10/22/21 02:59 PM,915 W WILSON AVE<br>422<br>  60640,Completed,No Cause
SR21-01871668,10/22/21 03:42 PM,6928 S OGLESBY AVE<br>  60649,Completed,No Entry
SR21-01872246,10/22/21 05:03 PM,6649 N NEWGARD AVE<br>2W<br>  60626,Completed,No Cause - Phone Call
SR21-01872290,10/22/21 05:14 PM,1749 N LOTUS AVE<br>  60639,Completed,No Cause - Phone Call
SR21-01872484,10/22/21 05:52 PM,6723 S PAXTON AVE<br>  60649,Completed,No Cause - Phone Call
SR21-01872689,10/22/21 06:32 PM,50 E 71ST ST<br>  60619,Completed,NO SUCH ADDRESS
SR21-01872923,10/22/21 07:29 PM,2651 W ALTGELD ST<br>2<br>  60647,Completed,No Cause - Phone Call
SR21-01872970,10/22/21 07:43 PM,1631 W HIGHLAND AVE<br>2<br>  60660,Completed,NO SUCH ADDRESS
SR21-01873363,10/22/21 10:19 PM,3104 N HAUSSEN CT<br>3S<br>  60618,Completed,No Entry
SR21-01873457,10/22/21 11:17 PM,8773 S BEVERLY AVE<br>  60620,Completed,No Cause - Phone Call
SR21-01873606,10/23/21 01:29 AM,7043 S ABERDEEN ST<br>2<br>  60621,Completed,No Entry
SR21-01873627,10/23/21 01:49 AM,4748 S WOOD ST<br>1st floor rear<br>  60609,Completed,Processed for Hearing - Standard
SR21-01873972,10/23/21 08:02 AM,"3407 W CATALPA AVE<br>2,3,1<br>  60625",Completed,No Entry
SR21-01874213,10/23/21 09:12 AM,6723 S PAXTON AVE<br>  60649,Completed,
SR21-01874666,10/23/21 11:04 AM,2843 W 79TH ST<br>  60652,Completed,No Entry
SR21-01874772,10/23/21 11:39 AM,1401 N WICKER PARK AVE<br>Apt 2<br>  60622,Completed,No Cause - Phone Call
SR21-01875033,10/23/21 12:25 PM,6120 N HAMILTON AVE<br>  60659,Completed,No Entry
SR21-01875099,10/23/21 12:42 PM,6113 N FRANCISCO AVE<br>1S<br>  60659,Completed,No Entry
SR21-01875757,10/23/21 03:54 PM,8139 S MARYLAND AVE<br>  60619,Completed,No Entry
SR21-01875822,10/23/21 04:19 PM,1305 E 73RD ST<br>  60619,Completed,No Entry
SR21-01875883,10/23/21 04:40 PM,5220 S CORNELL AVE<br>  60615,Completed,Processed for Hearing - Standard
SR21-01876163,10/23/21 06:38 PM,5312 S KENNETH AVE<br>2<br>  60632,Completed,Processed for Hearing - Standard
SR21-01876210,10/23/21 06:58 PM,5236 N GLENWOOD AVE<br>  60640,Completed,Processed for Court
SR21-01876222,10/23/21 07:01 PM,7209 S CONSTANCE AVE<br>  60649,Completed,No Cause - Phone Call
SR21-01876322,10/23/21 07:42 PM,848 W 78TH ST<br>2<br>  60620,Completed,PROCESSED VIOLATION NOTICE
SR21-01876492,10/23/21 08:56 PM,1633 W MADISON ST<br>  60612,Completed,No Entry
SR21-01876512,10/23/21 09:13 PM,7738 N EASTLAKE TER<br>3W<br>  60626,Completed,No Entry
SR21-01876578,10/23/21 09:49 PM,1633 W MADISON ST<br>1406S<br>  60612,Completed,
SR21-01876807,10/24/21 12:38 AM,1946 W LELAND AVE<br>2<br>  60640,Completed,No Cause - Phone Call
SR21-01876944,10/24/21 03:47 AM,5121 N BERNARD ST<br>  60625,Completed,No Entry
SR21-01877119,10/24/21 07:51 AM,8 S MAYFIELD AVE<br>3<br>  60644,Completed,Processed for Hearing - Standard
SR21-01877420,10/24/21 09:42 AM,6110 N KENMORE AVE<br>  60660,Completed,Processed for Court
SR21-01877469,10/24/21 09:55 AM,6312 N BELL AVE<br>  60659,Completed,No Entry
SR21-01877507,10/24/21 10:07 AM,3945 N MENARD AVE<br>  60634,Completed,NO SUCH ADDRESS
SR21-01877650,10/24/21 10:52 AM,5600 S LOOMIS BLVD<br>  60636,Completed,No Cause - Phone Call
SR21-01877702,10/24/21 11:13 AM,7101 S ARTESIAN AVE<br>  60629,Completed,No Entry
SR21-01877808,10/24/21 11:47 AM,5410 W DIVISION ST<br>  60651,Completed,Processed for Hearing - Standard
SR21-01877814,10/24/21 11:49 AM,6231 S RACINE AVE<br>  60636,Completed,Processed for Hearing - Standard
SR21-01877922,10/24/21 12:21 PM,3450 N LAKE SHORE DR<br>  60657,Completed,No Cause
SR21-01878067,10/24/21 01:11 PM,6920 N ASHLAND BLVD<br>  60626,Completed,NO SUCH ADDRESS
SR21-01878096,10/24/21 01:22 PM,7708 S CORNELL AVE<br>  60649,Completed,Processed for Hearing - Standard
SR21-01878426,10/24/21 03:17 PM,1717 N MAYFIELD AVE<br>  60639,Completed,No Cause - Phone Call
SR21-01878619,10/24/21 04:27 PM,1130 N DEARBORN ST<br>  60610,Completed,No Cause - Phone Call
SR21-01878626,10/24/21 04:29 PM,2038 W JARVIS AVE<br>  60645,Completed,No Cause
SR21-01878691,10/24/21 04:45 PM,5410 W DIVISION ST<br>  60651,Completed,
SR21-01878719,10/24/21 04:52 PM,3245 S PRAIRIE AVE<br>  60616,Completed,Adequate Temperature
SR21-01878729,10/24/21 04:55 PM,6115 N FRANCISCO AVE<br>1N<br>  60659,Completed,No Entry
SR21-01878762,10/24/21 05:05 PM,10915 S VERNON AVE<br>  60628,Completed,No Entry
SR21-01878963,10/24/21 06:18 PM,1410 W FARRAGUT AVE<br>3<br>  60640,Completed,Processed for Court
SR21-01879629,10/24/21 09:35 PM,1633 W MADISON ST<br>Apt 1406S<br>  60612,Completed,
SR21-01879688,10/24/21 09:50 PM,2742 N LARAMIE AVE<br>3n<br>  60639,Completed,Processed for Court
