,SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer,street_address,zipcode,apt_num,city,state
7473,SR21-01931632,11/02/21 10:56 AM,4300 N KEYSTONE AVE<br>  60641,Completed,,4300 N KEYSTONE AVE,60641,   ,Chicago,Illinois
7474,SR21-01931640,11/02/21 10:57 AM,2111 N HALSTED ST<br>  60614,Completed,Adequate Temperature,2111 N HALSTED ST,60614,   ,Chicago,Illinois
7475,SR21-01931652,11/02/21 10:59 AM,6543 S UNIVERSITY AVE<br>  60637,Completed,No Cause - Phone Call,6543 S UNIVERSITY AVE,60637,   ,Chicago,Illinois
7476,SR21-01931799,11/02/21 11:16 AM,1750 W ROOSEVELT RD<br>  60612,Completed,No Cause - Phone Call,1750 W ROOSEVELT RD,60612,   ,Chicago,Illinois
7477,SR21-01931996,11/02/21 11:40 AM,743 E 80TH ST<br>  60619,Completed,Active Case,743 E 80TH ST,60619,   ,Chicago,Illinois
7478,SR21-01932052,11/02/21 11:46 AM,3612 S PRAIRIE AVE<br>2<br>  60653,Completed,PROCESSED VIOLATION NOTICE,3612 S PRAIRIE AVE,60653,2   ,Chicago,Illinois
7479,SR21-01932109,11/02/21 11:52 AM,6158 S TROY ST<br>  60629,Completed,No Cause,6158 S TROY ST,60629,   ,Chicago,Illinois
7480,SR21-01932165,11/02/21 11:56 AM,3142 S HARDING AVE<br>  60623,Completed,Processed for Court,3142 S HARDING AVE,60623,   ,Chicago,Illinois
7481,SR21-01932222,11/02/21 12:04 PM,1553 W 94TH ST<br>  60620,Completed,Processed for Court,1553 W 94TH ST,60620,   ,Chicago,Illinois
7482,SR21-01932346,11/02/21 12:20 PM,8045 S CARPENTER ST<br>  60620,Completed,Processed for Court,8045 S CARPENTER ST,60620,   ,Chicago,Illinois
7483,SR21-01932527,11/02/21 12:39 PM,1533 N WIELAND ST<br>  60610,Completed,No Entry,1533 N WIELAND ST,60610,   ,Chicago,Illinois
7484,SR21-01932607,11/02/21 12:47 PM,236 E 121ST PL<br>  60628,Completed,Adequate Temperature,236 E 121ST PL,60628,   ,Chicago,Illinois
7485,SR21-01932660,11/02/21 12:54 PM,832 W OAKDALE AVE<br>3H<br>  60657,Completed,No Cause - Phone Call,832 W OAKDALE AVE,60657,3H   ,Chicago,Illinois
7486,SR21-01932749,11/02/21 01:04 PM,11329 S DR MARTIN LUTHER KING JR DR<br>3S<br>  60628,Completed,No Cause - Phone Call,11329 S DR MARTIN LUTHER KING JR DR,60628,3S   ,Chicago,Illinois
7487,SR21-01933559,11/02/21 02:39 PM,8147 S DREXEL BLVD<br>  60619,Completed,Active Case,8147 S DREXEL BLVD,60619,   ,Chicago,Illinois
7488,SR21-01933560,11/02/21 02:40 PM,6944 S GREEN ST<br>1<br>  60621,Completed,Processed for Hearing - Standard,6944 S GREEN ST,60621,1   ,Chicago,Illinois
7489,SR21-01933879,11/02/21 03:24 PM,1136 N LAWNDALE AVE<br>  60651,Completed,Processed for Court,1136 N LAWNDALE AVE,60651,   ,Chicago,Illinois
7490,SR21-01933898,11/02/21 03:25 PM,13092 S DREXEL BLVD<br>  60827,Completed,No Entry,13092 S DREXEL BLVD,60827,   ,Chicago,Illinois
7491,SR21-01934191,11/02/21 04:05 PM,3728 S PARNELL AVE<br>2R<br>  60609,Completed,,3728 S PARNELL AVE,60609,2R   ,Chicago,Illinois
7492,SR21-01934295,11/02/21 04:21 PM,4220 W CORTLAND ST<br>2<br>  60639,Completed,No Cause - Phone Call,4220 W CORTLAND ST,60639,2   ,Chicago,Illinois
7493,SR21-01934675,11/02/21 05:26 PM,6532 S DR MARTIN LUTHER KING JR DR<br>  60637,Completed,PROCESSED VIOLATION NOTICE,6532 S DR MARTIN LUTHER KING JR DR,60637,   ,Chicago,Illinois
7494,SR21-01934796,11/02/21 05:58 PM,1301 W ESTES AVE<br>2E<br>  60626,Completed,No Cause - Phone Call,1301 W ESTES AVE,60626,2E   ,Chicago,Illinois
7495,SR21-01934861,11/02/21 06:08 PM,1624 S THROOP ST<br>1<br>  60608,Completed,No Cause - Phone Call,1624 S THROOP ST,60608,1   ,Chicago,Illinois
7496,SR21-01934932,11/02/21 06:33 PM,4734 N LOTUS AVE<br>  60630,Completed,No Entry,4734 N LOTUS AVE,60630,   ,Chicago,Illinois
7497,SR21-01934949,11/02/21 06:37 PM,4205 N KEDVALE AVE<br>3A<br>  60641,Completed,No Cause - Phone Call,4205 N KEDVALE AVE,60641,3A   ,Chicago,Illinois
7498,SR21-01935046,11/02/21 06:55 PM,6049 N TALMAN AVE<br>1A<br>  60659,Completed,No Cause - Phone Call,6049 N TALMAN AVE,60659,1A   ,Chicago,Illinois
7499,SR21-01935635,11/02/21 10:55 PM,1435 N WELLS ST<br>405<br>  60610,Completed,No Cause - Phone Call,1435 N WELLS ST,60610,405   ,Chicago,Illinois
7500,SR21-01935659,11/02/21 11:09 PM,8147 S DREXEL BLVD<br>  60619,Completed,,8147 S DREXEL BLVD,60619,   ,Chicago,Illinois
7501,SR21-01935839,11/03/21 04:29 AM,7945 S STATE ST<br>  60619,Completed,Processed for Court,7945 S STATE ST,60619,   ,Chicago,Illinois
7502,SR21-01936170,11/03/21 07:30 AM,3755 S COTTAGE GROVE AVE<br>  60653,Completed,Adequate Temperature,3755 S COTTAGE GROVE AVE,60653,   ,Chicago,Illinois
7503,SR21-01936293,11/03/21 07:56 AM,4220 W CORTLAND ST<br>  60639,Completed,,4220 W CORTLAND ST,60639,   ,Chicago,Illinois
7504,SR21-01936343,11/03/21 08:06 AM,6654 S LOOMIS ST<br>  60636,Completed,No Entry,6654 S LOOMIS ST,60636,   ,Chicago,Illinois
7505,SR21-01936540,11/03/21 08:39 AM,4022 N AVERS AVE<br>  60618,Completed,No Entry,4022 N AVERS AVE,60618,   ,Chicago,Illinois
7506,SR21-01936627,11/03/21 08:51 AM,7410 S CHAPPEL AVE<br>  60649,Completed,Processed for Hearing - Standard,7410 S CHAPPEL AVE,60649,   ,Chicago,Illinois
7507,SR21-01937032,11/03/21 09:41 AM,8017 S COLFAX AVE<br>  60617,Completed,No Cause,8017 S COLFAX AVE,60617,   ,Chicago,Illinois
7508,SR21-01937066,11/03/21 09:46 AM,2235 S KIRKLAND AVE<br>  60623,Completed,Processed for Court,2235 S KIRKLAND AVE,60623,   ,Chicago,Illinois
7509,SR21-01937134,11/03/21 09:53 AM,9044 S DAUPHIN AVE<br>  60619,Completed,Processed for Court,9044 S DAUPHIN AVE,60619,   ,Chicago,Illinois
7510,SR21-01937216,11/03/21 10:04 AM,158 N CENTRAL AVE<br>  60644,Completed,Processed for Hearing - Standard,158 N CENTRAL AVE,60644,   ,Chicago,Illinois
7511,SR21-01937238,11/03/21 10:07 AM,158 N CENTRAL AVE<br>  60644,Completed,,158 N CENTRAL AVE,60644,   ,Chicago,Illinois
7512,SR21-01937321,11/03/21 10:17 AM,2018 W 111TH ST<br>  60643,Completed,No Entry,2018 W 111TH ST,60643,   ,Chicago,Illinois
7513,SR21-01937379,11/03/21 10:24 AM,3144 N MASON AVE<br>  60634,Completed,No Cause - Phone Call,3144 N MASON AVE,60634,   ,Chicago,Illinois
7514,SR21-01937421,11/03/21 10:30 AM,2321 W MARQUETTE RD<br>  60636,Completed,No Entry,2321 W MARQUETTE RD,60636,   ,Chicago,Illinois
7515,SR21-01937649,11/03/21 10:56 AM,6144 N WINTHROP AVE<br>  60660,Completed,,6144 N WINTHROP AVE,60660,   ,Chicago,Illinois
7516,SR21-01937657,11/03/21 10:56 AM,5220 S WOODLAWN AVE<br>3w<br>  60615,Completed,No Cause - Phone Call,5220 S WOODLAWN AVE,60615,3w   ,Chicago,Illinois
7517,SR21-01937818,11/03/21 11:14 AM,7108 S PARNELL AVE<br>  60621,Completed,No Entry,7108 S PARNELL AVE,60621,   ,Chicago,Illinois
7518,SR21-01937818,11/03/21 11:14 AM,7108 S PARNELL AVE<br>  60621,Completed,Transfer to Ventilation Violation,7108 S PARNELL AVE,60621,   ,Chicago,Illinois
7519,SR21-01937947,11/03/21 11:29 AM,5911 W FILLMORE ST<br>  60644,Completed,Processed for Hearing - Standard,5911 W FILLMORE ST,60644,   ,Chicago,Illinois
7520,SR21-01938023,11/03/21 11:37 AM,8252 W IRVING PARK DR<br>  60634,Completed,No Entry,8252 W IRVING PARK DR,60634,   ,Chicago,Illinois
7521,SR21-01938036,11/03/21 11:39 AM,8248 S KEDZIE AVE<br>  60652,Completed,No Cause - Phone Call,8248 S KEDZIE AVE,60652,   ,Chicago,Illinois
7522,SR21-01938270,11/03/21 12:07 PM,1420 W 95TH ST<br>  60643,Completed,Adequate Temperature,1420 W 95TH ST,60643,   ,Chicago,Illinois
7523,SR21-01938694,11/03/21 12:59 PM,6417 S EVANS AVE<br>1st floor<br>  60637,Completed,No Cause - Phone Call,6417 S EVANS AVE,60637,1st floor   ,Chicago,Illinois
7524,SR21-01939114,11/03/21 01:47 PM,632 E 76TH ST<br>  60619,Completed,PROCESSED VIOLATION NOTICE,632 E 76TH ST,60619,   ,Chicago,Illinois
7525,SR21-01939549,11/03/21 02:41 PM,5814 S MARSHFIELD AVE<br>  60636,Completed,PROCESSED VIOLATION NOTICE,5814 S MARSHFIELD AVE,60636,   ,Chicago,Illinois
7526,SR21-01939713,11/03/21 03:02 PM,6210 N HOYNE AVE<br>  60659,Completed,No Entry,6210 N HOYNE AVE,60659,   ,Chicago,Illinois
7527,SR21-01939981,11/03/21 03:38 PM,10513 S HALE AVE<br>  60643,Completed,Adequate Temperature,10513 S HALE AVE,60643,   ,Chicago,Illinois
7528,SR21-01940131,11/03/21 03:58 PM,7869 S COLES AVE<br>  60649,Completed,No Cause - Phone Call,7869 S COLES AVE,60649,   ,Chicago,Illinois
7529,SR21-01940310,11/03/21 04:21 PM,4415 S ST LOUIS AVE<br>  60632,Completed,No Cause - Phone Call,4415 S ST LOUIS AVE,60632,   ,Chicago,Illinois
7530,SR21-01940365,11/03/21 04:26 PM,1815 N AUSTIN AVE<br>  60639,Completed,Processed for Court,1815 N AUSTIN AVE,60639,   ,Chicago,Illinois
7531,SR21-01940444,11/03/21 04:38 PM,6735 S CHAMPLAIN AVE<br>  60637,Completed,No Cause - Phone Call,6735 S CHAMPLAIN AVE,60637,   ,Chicago,Illinois
7532,SR21-01940684,11/03/21 05:10 PM,4038 N HARDING AVE<br>  60618,Completed,No Entry,4038 N HARDING AVE,60618,   ,Chicago,Illinois
7533,SR21-01941023,11/03/21 05:55 PM,5519 S WINCHESTER AVE<br>  60636,Completed,No Cause - Phone Call,5519 S WINCHESTER AVE,60636,   ,Chicago,Illinois
7534,SR21-01941289,11/03/21 06:43 PM,1345 W CARMEN AVE<br>Apt 2<br>  60640,Completed,No Entry,1345 W CARMEN AVE,60640,Apt 2   ,Chicago,Illinois
7535,SR21-01941429,11/03/21 07:23 PM,1624 S THROOP ST<br>  60608,Completed,,1624 S THROOP ST,60608,   ,Chicago,Illinois
7536,SR21-01941453,11/03/21 07:32 PM,1715 W ESTES AVE<br>3N<br>  60626,Completed,Adequate Temperature,1715 W ESTES AVE,60626,3N   ,Chicago,Illinois
7537,SR21-01941544,11/03/21 08:00 PM,158 N CENTRAL AVE<br>  60644,Completed,,158 N CENTRAL AVE,60644,   ,Chicago,Illinois
7538,SR21-01941672,11/03/21 08:56 PM,6700 S SHORE DR<br>All floors above 16<br>  60649,Completed,No Cause - Phone Call,6700 S SHORE DR,60649,All floors above 16   ,Chicago,Illinois
7539,SR21-01941957,11/03/21 11:47 PM,4621 N SHERIDAN RD<br>  60640,Completed,Adequate Temperature,4621 N SHERIDAN RD,60640,   ,Chicago,Illinois
7540,SR21-01942006,11/04/21 12:38 AM,4506 N MALDEN ST<br>BF2<br>  60640,Completed,No Entry,4506 N MALDEN ST,60640,BF2   ,Chicago,Illinois
7541,SR21-01942222,11/04/21 05:59 AM,1341 W ESTES AVE<br>APT 58<br>  60626,Completed,No Entry,1341 W ESTES AVE,60626,APT 58   ,Chicago,Illinois
7542,SR21-01942417,11/04/21 07:09 AM,"1616 E 50TH PL<br>Apartment 3D, Building 3<br>  60615",Completed,No Entry,1616 E 50TH PL,60615,"Apartment 3D, Building 3   ",Chicago,Illinois
7543,SR21-01942498,11/04/21 07:29 AM,1520 W 78TH ST<br>2A<br>  60620,Completed,No Entry,1520 W 78TH ST,60620,2A   ,Chicago,Illinois
7544,SR21-01942741,11/04/21 08:15 AM,7524 S ESSEX AVE<br>  60649,Completed,No Cause - Phone Call,7524 S ESSEX AVE,60649,   ,Chicago,Illinois
7545,SR21-01942784,11/04/21 08:22 AM,7201 S VINCENNES AVE<br>  60621,Completed,No Cause - Phone Call,7201 S VINCENNES AVE,60621,   ,Chicago,Illinois
7546,SR21-01942927,11/04/21 08:45 AM,3916 W CONGRESS PKWY<br>  60624,Completed,No Cause - Phone Call,3916 W CONGRESS PKWY,60624,   ,Chicago,Illinois
7547,SR21-01943151,11/04/21 09:14 AM,8801 S ESCANABA AVE<br>  60617,Completed,No Entry,8801 S ESCANABA AVE,60617,   ,Chicago,Illinois
7548,SR21-01943613,11/04/21 10:10 AM,2719 W CERMAK RD<br>  60608,Completed,No Entry,2719 W CERMAK RD,60608,   ,Chicago,Illinois
7549,SR21-01943801,11/04/21 10:35 AM,7842 S JEFFERY BLVD<br>  60649,Completed,No Entry,7842 S JEFFERY BLVD,60649,   ,Chicago,Illinois
7550,SR21-01943918,11/04/21 10:49 AM,3206 W MADISON ST<br>  60624,Completed,No Cause - Phone Call,3206 W MADISON ST,60624,   ,Chicago,Illinois
7551,SR21-01943987,11/04/21 10:56 AM,7101 S ARTESIAN AVE<br>  60629,Completed,No Entry,7101 S ARTESIAN AVE,60629,   ,Chicago,Illinois
7552,SR21-01944113,11/04/21 11:10 AM,246 E 121ST PL<br>  60628,Completed,No Entry,246 E 121ST PL,60628,   ,Chicago,Illinois
7553,SR21-01944161,11/04/21 11:15 AM,7945 S SOUTH SHORE DR<br>1N<br>  60617,Completed,No Entry,7945 S SOUTH SHORE DR,60617,1N   ,Chicago,Illinois
7554,SR21-01944313,11/04/21 11:33 AM,10513 S HALE AVE<br>  60643,Completed,,10513 S HALE AVE,60643,   ,Chicago,Illinois
7555,SR21-01944371,11/04/21 11:39 AM,7423 S COLES AVE<br>1S<br>  60649,Completed,No Entry,7423 S COLES AVE,60649,1S   ,Chicago,Illinois
7556,SR21-01944401,11/04/21 11:41 AM,5125 S WESTERN BLVD<br>  60609,Completed,Processed for Hearing - Standard,5125 S WESTERN BLVD,60609,   ,Chicago,Illinois
7557,SR21-01944418,11/04/21 11:43 AM,5350 S MICHIGAN AVE<br>Apt 1<br>  60615,Completed,Transfer to Ventilation Violation,5350 S MICHIGAN AVE,60615,Apt 1   ,Chicago,Illinois
7558,SR21-01944418,11/04/21 11:43 AM,5350 S MICHIGAN AVE<br>Apt 1<br>  60615,Completed,Processed for Hearing,5350 S MICHIGAN AVE,60615,Apt 1   ,Chicago,Illinois
7559,SR21-01944423,11/04/21 11:44 AM,74 E 49TH ST<br>  60615,Completed,No Entry,74 E 49TH ST,60615,   ,Chicago,Illinois
7560,SR21-01944495,11/04/21 11:52 AM,3612 S PRAIRIE AVE<br>  60653,Completed,Active Case,3612 S PRAIRIE AVE,60653,   ,Chicago,Illinois
7561,SR21-01944727,11/04/21 12:18 PM,257 W 22ND PL<br>  60616,Completed,Active Case,257 W 22ND PL,60616,   ,Chicago,Illinois
7562,SR21-01944923,11/04/21 12:45 PM,52 N PARKSIDE AVE<br>  60644,Completed,Active Case,52 N PARKSIDE AVE,60644,   ,Chicago,Illinois
7563,SR21-01945010,11/04/21 12:56 PM,3248 N CLARK ST<br>  60657,Completed,No Entry,3248 N CLARK ST,60657,   ,Chicago,Illinois
7564,SR21-01946159,11/04/21 03:22 PM,5724 N MOZART ST<br>  60659,Completed,No Entry,5724 N MOZART ST,60659,   ,Chicago,Illinois
7565,SR21-01946201,11/04/21 03:29 PM,6403 S CAMPBELL AVE<br>  60629,Completed,No Entry,6403 S CAMPBELL AVE,60629,   ,Chicago,Illinois
7566,SR21-01946421,11/04/21 03:54 PM,738 E 101ST ST<br>  60628,Completed,No Entry,738 E 101ST ST,60628,   ,Chicago,Illinois
7567,SR21-01946641,11/04/21 04:16 PM,7232 S COLES AVE<br>  60649,Completed,No Entry,7232 S COLES AVE,60649,   ,Chicago,Illinois
7568,SR21-01946801,11/04/21 04:35 PM,6023 N FAIRFIELD AVE<br>  60659,Completed,No Entry,6023 N FAIRFIELD AVE,60659,   ,Chicago,Illinois
7569,SR21-01947173,11/04/21 05:26 PM,2241 E 71ST ST<br>309<br>  60649,Completed,No Entry,2241 E 71ST ST,60649,309   ,Chicago,Illinois
7570,SR21-01947600,11/04/21 07:14 PM,2528 W CORTEZ ST<br>  60622,Completed,No Cause - Phone Call,2528 W CORTEZ ST,60622,   ,Chicago,Illinois
7571,SR21-01947792,11/04/21 08:25 PM,7147 S GREEN ST<br>  60621,Completed,Adequate Temperature,7147 S GREEN ST,60621,   ,Chicago,Illinois
7572,SR21-01947889,11/04/21 09:05 PM,731 S PLYMOUTH CT<br>Apt 413<br>  60605,Completed,No Cause - Phone Call,731 S PLYMOUTH CT,60605,Apt 413   ,Chicago,Illinois
7573,SR21-01947935,11/04/21 09:36 PM,11337 S FOREST AVE<br>Apt #2<br>  60628,Completed,No Entry,11337 S FOREST AVE,60628,Apt #2   ,Chicago,Illinois
7574,SR21-01947963,11/04/21 09:50 PM,10500 S WALDEN PKWY<br>  60643,Completed,No Entry,10500 S WALDEN PKWY,60643,   ,Chicago,Illinois
7575,SR21-01948217,11/05/21 01:11 AM,5958 S ELIZABETH ST<br>  60636,Completed,Active Case,5958 S ELIZABETH ST,60636,   ,Chicago,Illinois
7576,SR21-01948853,11/05/21 08:43 AM,7030 S CHAPPEL AVE<br>  60649,Completed,No Cause,7030 S CHAPPEL AVE,60649,   ,Chicago,Illinois
7577,SR21-01948896,11/05/21 08:47 AM,8211 S ADA ST<br>  60620,Completed,No Entry,8211 S ADA ST,60620,   ,Chicago,Illinois
7578,SR21-01949088,11/05/21 09:16 AM,3603 N ASHLAND AVE<br>2<br>  60613,Completed,Adequate Temperature,3603 N ASHLAND AVE,60613,2   ,Chicago,Illinois
7579,SR21-01949270,11/05/21 09:37 AM,3149 W 61ST ST<br>  60629,Completed,No Cause - Phone Call,3149 W 61ST ST,60629,   ,Chicago,Illinois
7580,SR21-01949314,11/05/21 09:41 AM,1921 W BERTEAU AVE<br>  60613,Completed,No Entry,1921 W BERTEAU AVE,60613,   ,Chicago,Illinois
7581,SR21-01949382,11/05/21 09:51 AM,6108 S GREEN ST<br>  60621,Completed,Adequate Temperature,6108 S GREEN ST,60621,   ,Chicago,Illinois
7582,SR21-01949622,11/05/21 10:19 AM,4022 N AVERS AVE<br>  60618,Completed,,4022 N AVERS AVE,60618,   ,Chicago,Illinois
7583,SR21-01949636,11/05/21 10:21 AM,7925 S MARYLAND AVE<br>  60619,Completed,No Entry,7925 S MARYLAND AVE,60619,   ,Chicago,Illinois
7584,SR21-01949761,11/05/21 10:33 AM,2709 W SUMMERDALE AVE<br>  60625,Completed,No Entry,2709 W SUMMERDALE AVE,60625,   ,Chicago,Illinois
7585,SR21-01949762,11/05/21 10:33 AM,8254 S MAY ST<br>  60620,Completed,,8254 S MAY ST,60620,   ,Chicago,Illinois
7586,SR21-01950049,11/05/21 11:05 AM,52 N PARKSIDE AVE<br>  60644,Completed,,52 N PARKSIDE AVE,60644,   ,Chicago,Illinois
7587,SR21-01950893,11/05/21 01:08 PM,5417 S ELLIS AVE<br>  60615,Completed,Adequate Temperature,5417 S ELLIS AVE,60615,   ,Chicago,Illinois
7588,SR21-01951208,11/05/21 01:57 PM,2528 W CORTEZ ST<br>1st floor<br>  60622,Completed,,2528 W CORTEZ ST,60622,1st floor   ,Chicago,Illinois
7589,SR21-01951451,11/05/21 02:29 PM,2805 W WASHINGTON BLVD<br>  60612,Completed,No Cause - Phone Call,2805 W WASHINGTON BLVD,60612,   ,Chicago,Illinois
7590,SR21-01951752,11/05/21 03:13 PM,6621 S MARSHFIELD AVE<br>  60636,Completed,No Entry,6621 S MARSHFIELD AVE,60636,   ,Chicago,Illinois
7591,SR21-01952001,11/05/21 03:52 PM,5633 N KENMORE AVE<br>  60660,Completed,No Entry,5633 N KENMORE AVE,60660,   ,Chicago,Illinois
7592,SR21-01952134,11/05/21 04:15 PM,4302 S WABASH AVE<br>  60653,Completed,No Entry,4302 S WABASH AVE,60653,   ,Chicago,Illinois
7593,SR21-01952218,11/05/21 04:27 PM,4500 N MALDEN ST<br>301<br>  60640,Completed,No Entry,4500 N MALDEN ST,60640,301   ,Chicago,Illinois
7594,SR21-01952436,11/05/21 05:01 PM,1910 N PULASKI RD<br>  60639,Completed,Processed for Court,1910 N PULASKI RD,60639,   ,Chicago,Illinois
7595,SR21-01952795,11/05/21 06:21 PM,3248 N CLARK ST<br>  60657,Completed,Processed for Court,3248 N CLARK ST,60657,   ,Chicago,Illinois
7596,SR21-01953029,11/05/21 07:45 PM,1211 N LA SALLE ST<br>1903<br>  60610,Completed,Processed for Court,1211 N LA SALLE ST,60610,1903   ,Chicago,Illinois
7597,SR21-01953160,11/05/21 08:38 PM,5000 S INDIANA AVE<br>208<br>  60615,Completed,Adequate Temperature,5000 S INDIANA AVE,60615,208   ,Chicago,Illinois
7598,SR21-01954374,11/06/21 10:09 AM,5830 N KENMORE AVE<br>207<br>  60660,Completed,No Entry,5830 N KENMORE AVE,60660,207   ,Chicago,Illinois
7599,SR21-01954467,11/06/21 10:45 AM,2626 W 63RD ST<br>  60629,Completed,No Entry,2626 W 63RD ST,60629,   ,Chicago,Illinois
7600,SR21-01954582,11/06/21 11:17 AM,5000 S INDIANA AVE<br>208<br>  60615,Completed,,5000 S INDIANA AVE,60615,208   ,Chicago,Illinois
7601,SR21-01954696,11/06/21 11:45 AM,5221 N ELSTON AVE<br>1c<br>  60630,Completed,No Entry,5221 N ELSTON AVE,60630,1c   ,Chicago,Illinois
7602,SR21-01955298,11/06/21 02:56 PM,6633 S ELLIS AVE<br>1n<br>  60637,Completed,No Entry,6633 S ELLIS AVE,60637,1n   ,Chicago,Illinois
7603,SR21-01955325,11/06/21 03:05 PM,10137 S STATE ST<br>  60628,Completed,Active Case,10137 S STATE ST,60628,   ,Chicago,Illinois
7604,SR21-01955331,11/06/21 03:07 PM,10137 S STATE ST<br>  60628,Completed,Active Case,10137 S STATE ST,60628,   ,Chicago,Illinois
7605,SR21-01955985,11/06/21 06:25 PM,6949 S SANGAMON ST<br>whole building<br>  60621,Completed,Processed for Court,6949 S SANGAMON ST,60621,whole building   ,Chicago,Illinois
7606,SR21-01956035,11/06/21 06:38 PM,6949 S SANGAMON ST<br>2<br>  60621,Completed,,6949 S SANGAMON ST,60621,2   ,Chicago,Illinois
7607,SR21-01956054,11/06/21 06:44 PM,3650 W 18TH ST<br>1<br>  60623,Completed,Processed for Court,3650 W 18TH ST,60623,1   ,Chicago,Illinois
7608,SR21-01956116,11/06/21 07:05 PM,7015 S JUSTINE ST<br>  60636,Completed,Processed for Court,7015 S JUSTINE ST,60636,   ,Chicago,Illinois
7609,SR21-01956168,11/06/21 07:27 PM,3155 W AUGUSTA BLVD<br>ALL<br>  60622,Completed,No Cause - Phone Call,3155 W AUGUSTA BLVD,60622,ALL   ,Chicago,Illinois
7610,SR21-01956220,11/06/21 08:00 PM,6057 S WHIPPLE ST<br>1st floor<br>  60629,Completed,No Entry,6057 S WHIPPLE ST,60629,1st floor   ,Chicago,Illinois
7611,SR21-01956241,11/06/21 08:15 PM,6949 S SANGAMON ST<br>  60621,Completed,,6949 S SANGAMON ST,60621,   ,Chicago,Illinois
7612,SR21-01956442,11/06/21 10:02 PM,3616 W POLK ST<br>2<br>  60624,Completed,Processed for Court,3616 W POLK ST,60624,2   ,Chicago,Illinois
7613,SR21-01956504,11/06/21 10:49 PM,7043 S ABERDEEN ST<br>2<br>  60621,Completed,No Entry,7043 S ABERDEEN ST,60621,2   ,Chicago,Illinois
7614,SR21-01958015,11/07/21 11:57 AM,6241 S KEDZIE AVE<br>314<br>  60629,Completed,Processed for Hearing - Standard,6241 S KEDZIE AVE,60629,314   ,Chicago,Illinois
7615,SR21-01958698,11/07/21 03:33 PM,2524 S CALIFORNIA AVE<br>  60623,Completed,No Cause - Phone Call,2524 S CALIFORNIA AVE,60623,   ,Chicago,Illinois
7616,SR21-01958758,11/07/21 03:53 PM,10137 S STATE ST<br>  60628,Completed,,10137 S STATE ST,60628,   ,Chicago,Illinois
7617,SR21-01958930,11/07/21 04:54 PM,11233 S CHAMPLAIN AVE<br>  60628,Completed,Adequate Temperature,11233 S CHAMPLAIN AVE,60628,   ,Chicago,Illinois
7618,SR21-01960111,11/08/21 03:16 AM,4640 W 87TH ST<br>  60652,Completed,No Entry,4640 W 87TH ST,60652,   ,Chicago,Illinois
7619,SR21-01960134,11/08/21 04:20 AM,501 N CENTRAL AVE<br>  60644,Completed,No Cause - Phone Call,501 N CENTRAL AVE,60644,   ,Chicago,Illinois
7620,SR21-01961499,11/08/21 09:25 AM,11931 S PERRY AVE<br>  60628,Completed,No Entry,11931 S PERRY AVE,60628,   ,Chicago,Illinois
7621,SR21-01962103,11/08/21 10:30 AM,4743 N DRAKE AVE<br>  60625,Completed,No Entry,4743 N DRAKE AVE,60625,   ,Chicago,Illinois
7622,SR21-01962589,11/08/21 11:16 AM,4103 N SACRAMENTO AVE<br>  60618,Completed,Adequate Temperature,4103 N SACRAMENTO AVE,60618,   ,Chicago,Illinois
7623,SR21-01962980,11/08/21 11:53 AM,5847 S MICHIGAN AVE<br>  60637,Completed,No Cause - Phone Call,5847 S MICHIGAN AVE,60637,   ,Chicago,Illinois
7624,SR21-01963059,11/08/21 12:01 PM,5849 S MICHIGAN AVE<br>  60637,Completed,No Cause - Phone Call,5849 S MICHIGAN AVE,60637,   ,Chicago,Illinois
7625,SR21-01963824,11/08/21 01:25 PM,10137 S STATE ST<br>  60628,Completed,,10137 S STATE ST,60628,   ,Chicago,Illinois
7626,SR21-01964144,11/08/21 01:55 PM,1518 E 68TH ST<br>1<br>  60637,Completed,No Cause - Phone Call,1518 E 68TH ST,60637,1   ,Chicago,Illinois
7627,SR21-01966636,11/08/21 08:17 PM,7751 S YATES BLVD<br>  60649,Completed,No Entry,7751 S YATES BLVD,60649,   ,Chicago,Illinois
7628,SR21-01966688,11/08/21 08:42 PM,1500 S INDIANA AVE<br>  60605,Completed,No Cause - Phone Call,1500 S INDIANA AVE,60605,   ,Chicago,Illinois
7629,SR21-01967916,11/09/21 08:29 AM,10920 S VERNON AVE<br>  60628,Completed,No Cause - Phone Call,10920 S VERNON AVE,60628,   ,Chicago,Illinois
7630,SR21-01968281,11/09/21 09:07 AM,5007 W AUGUSTA BLVD<br>  60651,Completed,Processed for Court,5007 W AUGUSTA BLVD,60651,   ,Chicago,Illinois
7631,SR21-01969111,11/09/21 10:21 AM,3022 S HARDING AVE<br>  60623,Completed,No Entry,3022 S HARDING AVE,60623,   ,Chicago,Illinois
7632,SR21-01969396,11/09/21 10:49 AM,6111 S LAFLIN ST<br>209<br>  60636,Completed,No Entry,6111 S LAFLIN ST,60636,209   ,Chicago,Illinois
7633,SR21-01969620,11/09/21 11:15 AM,5203 W SCHUBERT AVE<br>  60639,Completed,No Entry,5203 W SCHUBERT AVE,60639,   ,Chicago,Illinois
7634,SR21-01970609,11/09/21 12:57 PM,38 N CENTRAL AVE<br>  60644,Completed,No Entry,38 N CENTRAL AVE,60644,   ,Chicago,Illinois
7635,SR21-01970880,11/09/21 01:27 PM,5633 N KENMORE AVE<br>  60660,Completed,Adequate Temperature,5633 N KENMORE AVE,60660,   ,Chicago,Illinois
